entity_id,name,state,current_mode,current_kelvin,min_kelvin,max_kelvin,status
light.bedroom_ceiling,Bedroom Ceiling,on,color_temp,2857,2000,6535,Ready
light.japanese_lamp,Japanese Lamp,on,xy,,2000,6535,In color mode - needs switch to color_temp
light.server_closet,Server Closet,on,xy,,2000,6535,In color mode - needs switch to color_temp
light.laundry_room_ceiling,Laundry Room Ceiling,on,color_temp,3344,2202,6535,Ready
light.hydra_lamp,Hydra Lamp,on,color_temp,4348,2000,6535,Ready
light.fabric_lamp,Fabric Lamp,unavailable,N/A,,2000,6535,Unavailable
light.living_room_tv_lights,Living Room TV Lights,on,color_temp,3521,2000,6535,Ready
light.bedroom_tv_lights,Bedroom TV Lights,on,xy,,2000,6535,In color mode - needs switch to color_temp
light.rose_lamp,Rose Lamp,on,xy,,2000,6535,In color mode - needs switch to color_temp
light.hue_color_lamp_1_3,Pixar 2,on,color_temp,2732,2000,6535,Ready
light.laundry_ceiling_4,Laundry Ceiling 4,on,color_temp,3344,2202,6535,Ready
light.hue_ambiance_spot_1_2,Rec Ceiling 6,on,color_temp,4348,2202,6535,Ready
light.outdoor_lightstrip_left,Outdoor Lightstrip Left,off,N/A,,2000,6535,Ready
light.hydra_1,Hydra 1,on,color_temp,4348,2000,6535,Ready
light.laundry_ceiling_1,Laundry Ceiling 1,on,color_temp,3344,2202,6535,Ready
light.hue_ambiance_spot_2,Rec Ceiling 2,on,color_temp,4348,2202,6535,Ready
light.laundry_ceiling_3,Laundry Ceiling 3,on,color_temp,3344,2202,6535,Ready
light.laundry_ceiling_6,Laundry Ceiling 6,on,color_temp,3344,2202,6535,Ready
light.hue_ambiance_spot_4,Rec Ceiling 4,on,color_temp,4348,2202,6535,Ready
light.outdoor_lightstrip_center,Outdoor Lightstrip Center,off,N/A,,2000,6535,Ready
light.festavia_string_lights_1,Festavia string lights 1,off,N/A,,2000,6535,Ready
light.outdoor_lightstrip_right,Outdoor Lightstrip Right,off,N/A,,2000,6535,Ready
light.hue_ambiance_spot_5,Rec Ceiling 5,on,color_temp,4348,2202,6535,Ready
light.laundry_ceiling_2,Laundry Ceiling 2,on,color_temp,3344,2202,6535,Ready
light.hydra_3,Hydra 3,on,color_temp,4348,2000,6535,Ready
light.laundry_ceiling_5,Laundry Ceiling 5,on,color_temp,3344,2202,6535,Ready
light.hydra_2,Hydra 2,on,color_temp,4348,2000,6535,Ready
light.hue_ambiance_spot_1,Rec Ceiling 1,on,color_temp,4348,2202,6535,Ready
light.hue_ambiance_spot_3,Rec Ceiling 3,on,color_temp,4348,2202,6535,Ready
light.electrical_room,Electrical Room,on,color_temp,2732,2000,6535,Ready
light.backyard,Backyard Lights,off,N/A,,2000,6535,Ready
light.rec_room,Rec Room,on,color_temp,4348,2202,6535,Ready
light.laundry_room,Laundry room,on,color_temp,3344,2202,6535,Ready
light.signe_gradient_table_2,Signe gradient table 2,on,color_temp,3521,2000,6535,Ready
